         6746 function calls (6514 primitive calls) in 0.006 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.001    0.000 enum.py:1708(convert_class)
     15/6    0.000    0.000    0.001    0.000 _parser.py:512(_parse)
       65    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa44b40}
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       44    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        9    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       15    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       41    0.000    0.000    0.000    0.000 types.py:192(__init__)
        3    0.000    0.000    0.001    0.000 enum.py:919(_convert_)
     25/6    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        7    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       38    0.000    0.000    0.000    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.000    0.000 {built-in method _io.open}
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
  587/559    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      428    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       14    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
     13/2    0.000    0.000    0.005    0.003 <frozen importlib._bootstrap>:1349(_find_and_load)
     13/6    0.000    0.000    0.001    0.000 _parser.py:452(_parse_sub)
      421    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
   169/89    0.000    0.000    0.000    0.000 encoder.py:334(_iterencode_dict)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
       47    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:120(dump)
        6    0.000    0.000    0.001    0.000 __init__.py:280(_compile)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     13/2    0.000    0.000    0.005    0.003 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
      123    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
      262    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     12/2    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
      142    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
    31/12    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      164    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 encoder.py:260(_make_iterencode)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _compiler.py:573(_code)
      143    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      102    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        6    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
        6    0.000    0.000    0.001    0.000 _compiler.py:740(compile)
       89    0.000    0.000    0.000    0.000 encoder.py:414(_iterencode)
       12    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
      161    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      8/1    0.000    0.000    0.006    0.006 {built-in method builtins.exec}
       83    0.000    0.000    0.000    0.000 encoder.py:278(_iterencode_list)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        6    0.000    0.000    0.001    0.000 _parser.py:969(parse)
       71    0.000    0.000    0.000    0.000 _parser.py:261(get)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       53    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       79    0.000    0.000    0.000    0.000 _parser.py:256(match)
     27/4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       48    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
       47    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        4    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
